filename,gradient,intercept,campaignfactor,campaignexponentfactor,holidayfactor,holidayconstant,usebos
dooney.txt,24312,-4,16.6,0.26,2749000,20000000,0
bnm.txt,0,0,0,0,4000,45000,0
ecomm.txt,70000,0,5,0.25,0,3800000,0
marketplace.txt,1213,110778,2.2,0.25,0,800000,0
wholesale.txt,128613,0,0,0.1,0,10055000,1
dus.txt,100000,0,2.5,0.25,10000,880000,0
ild.txt,32604,0,1.68,0.25,0,750000,0
dus_1_BAGS_BASLT.txt,50000,750000,2.5,0.2,200000,-240000,0
dus_2_SLG_BASLT.txt,5820,201798,2.07,0.25,12000,-56000,0
dus_3_BAGS_NYLON.txt,3812,12532,16.7,0.0072,7992,49550,0
dus_4_BAGS_EXOTC.txt,4000,0,3,0.15,16000,-32000,0
dus_5_BAGS_NOVEL.txt,-425,0,-10.6,0.048,0,96709,0
dus_6_BAGS_FASHL.txt,733,-20000,17,0.15,5000,71142,0
dus_7_BAGS_ALTO.txt,0,3057,125,0.146,3168,57000,0
dus_8_BAGS_FASHF.txt,3000,-7000,1.59,0.074367337,0,-36180,0
dus_9_BAGS_NFL.txt,3057,5000,0.75,0.15,0,-31372,0
dus_10_BAGS_MLB.txt,1000,1000,1,0.15,14378,838,0
dus_11_OTHERS.txt,22793,0,2.1,0.11,75544,56544,0
ild_1_BAGS_BASLT.txt,50000,0,0.87,0.15,0,-750000,0
ild_2_SLG_BASLT.txt,2601,10000,3.6,0.25,729,25000,0
ild_3_BAGS_NYLON.txt,4000,0,0,0,15984,-18000,0
ild_4_BAGS_EXOTC.txt,2062,545,1.41,0.0215,-678,-14790,0
ild_5_BAGS_NOVEL.txt,-1000,200000,0.5,0.15,10000,0,0
ild_6_BAGS_FASHL.txt,3800,-20000,1.5,0.15,5000,0,0
ild_7_BAGS_ALTO.txt,4000,-60000,4,0.05,10000,0,0
ild_8_BAGS_FASHF.txt,3000,-7000,2.5,0.074367337,0,-7500,0
ild_9_BAGS_NFL.txt,2000,5000,2,0.15,0,0,0
ild_10_BAGS_MLB.txt,1000,1000,0.5,0.15,20000,0,0
ild_11_OTHERS.txt,-165,0,-64,0.15,-5502,385000,0
