month,Actual,Predict
1,22389528.294000003,26248022.523904465
2,21938772.1674,26312592.62667269
3,31548360.655,35510662.59525903
4,42706847.34150001,41306521.25235916
5,21011409.1292,26156740.774725504
6,31190264.99,23401042.627210747
7,20965049.7918,26146333.29178384
8,25774752.388,28913979.123988032
9,22262804.7723,23532820.379960533
10,28011675.3291,23490991.671798848
11,23427311.7325,20889473.974808812
12,22218810.501500007,23527803.328061234
13,22056985.0293,26490784.82955136
14,25777645.1605,26420023.11451823
15,21267353.433899995,23525975.10492267
16,22015362.090299994,26345975.90203675
17,38630846.344999984,29108211.334817357
