Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-01-01	4158566.159799999	8.87088133576783	2	0	0.0
2016-10-01	3569454.5889999997	8.326448629887645	2	0	0.0
2016-11-01	8085126.716100001	23.77503378528267	3	2	0.0
2016-12-01	14990525.9123	32.79107726982768	1	14	0.0
2016-02-01	3841992.8224	5.2877010365460215	2	0	0.0
2016-03-01	3091284.554500001	5.584537330385699	2	0	0.0
2016-04-01	3970776.2062	9.2799541908501	1	0	0.0
2016-05-01	4692288.099400001	8.001362035120259	3	0	0.0
2016-06-01	3378546.071	10.532471142996185	1	0	0.0
2016-07-01	3993891.1942000007	10.253352828797981	1	0	0.0
2016-08-01	3888123.0079	5.141500109609425	0	0	0.0
2016-09-01	4805792.7996	9.262962564623725	1	0	0.0
2017-01-01	4285021.7394	23.618417587818463	2	0	0.0
2017-10-01	5788492.428800001	32.67456411584784	2	0	0.0
2017-11-01	10948360.659600003	36.28701816291714	3	2	0.0
2017-12-01	16643440.699900001	36.79270403137346	1	14	0.0
2017-02-01	4360697.6485	26.616038761015	2	0	0.0
2017-03-01	5051697.8294	26.190959682254064	1	0	0.0
2017-04-01	4667533.579600001	25.647363892077504	2	0	0.0
2017-05-01	5569646.275099999	24.137711506219837	3	0	0.0
2017-06-01	4740376.7209	30.518741761055953	1	0	0.0
2017-07-01	4032591.8391999993	30.82520849497034	1	0	0.0
2017-08-01	4464845.944800001	27.842583573912737	0	0	0.0
2017-09-01	5356910.901699999	28.165760867668535	1	0	0.0
2018-01-01	5783862.859999999	30.85005445477393	2	0	0.0
2018-10-01	5835309.449900001	33.50594877725761	2	0	0.0
2018-11-01	12748449.72	38.64590302518175	3	2	0.0
2018-12-01	19971885.489	44.47101473971183	1	14	0.0
2018-02-01	4951038.415	27.095457992987185	2	0	0.0
2018-03-01	5818523.520000001	26.819950115611576	1	0	0.0
2018-04-01	5908646.59	26.667377911477434	2	0	0.0
2018-05-01	5829900.75	27.434317373644006	3	0	0.0
2018-06-01	6120438.5599	32.24022622410881	1	0	0.0
2018-07-01	4988848.899800002	30.519729837070148	1	0	0.0
2018-08-01	6617072.659999999	36.58596474205386	0	0	0.0
2018-09-01	5363547.930000001	32.03386508971836	1	0	0.0
2019-01-01	7445184.209999999	40.835341788061875	2	0	0.0
2019-02-01	6860140.0200000005	37.924774371431	2	0	0.0
2019-03-01	7135496.153899999	31.958666704617947	1	0	0.0
2019-04-01	7406587.140899999	34.87906803375899	2	0	0.0
2019-05-01	7146939.720000001	35.42346721032237	3	0	0.0
