Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-01-04	1058833.5176000001	15.5	1	0	0.0
2016-10-01	908659.5128000003	289.0	2	0	0.0
2016-11-01	1489100.8745000002	319.5	3	2	0.0
2016-12-01	2261308.9757	350.0	1	14	0.0
2016-02-01	1408380.5343	44.23809523809524	1	0	0.0
2016-03-01	973245.4001000001	74.0	1	0	0.0
2016-04-01	1268550.9429000004	106.42857142857143	1	0	0.0
2016-05-01	1241927.3896	136.0	3	0	0.0
2016-06-01	1016706.4286	166.5	1	0	0.0
2016-07-01	969642.9561999999	197.0	1	0	0.0
2016-08-01	1172884.2574	228.0	0	0	0.0
2016-09-01	1294684.3192	258.5	1	0	0.0
2017-01-01	1279672.2193000002	381.0	2	0	0.0
2017-10-01	1955206.6283999998	654.0	2	0	0.0
2017-11-01	3470944.025399999	684.5	3	2	0.0
2017-12-01	2643763.2299	715.0	1	14	0.0
2017-02-01	1422320.1114999994	410.5	2	0	0.0
2017-03-01	1523869.5478	440.0	1	0	0.0
2017-04-01	1650357.1823	470.5	2	0	0.0
2017-05-01	1459774.9104999998	501.0	3	0	0.0
2017-06-01	1061288.6432	531.5	1	0	0.0
2017-07-01	1670258.3489	562.0	1	0	0.0
2017-08-01	1405575.4175	593.0	0	0	0.0
2017-09-01	1841085.9477	623.5	1	0	0.0
2018-01-01	1957653.4500000002	746.0	2	0	0.0
2018-10-01	2150319.9099999997	1019.0	2	0	0.0
2018-11-01	3660196.85	1049.5	3	2	0.0
2018-12-01	5151397.049999999	1080.0	1	14	0.0
2018-02-01	1748174.525	775.5	2	0	0.0
2018-03-01	1771602.6999999995	805.0	1	0	0.0
2018-04-01	1890279.6699999997	835.5	2	0	0.0
2018-05-01	1923467.5499999998	866.0	3	0	0.0
2018-06-01	1613084.2399000002	896.5	1	0	0.0
2018-07-01	1919806.29	927.0	1	0	0.0
2018-08-01	2224171.8099999996	958.0	0	0	0.0
2018-09-01	1997517.0700000003	988.5	1	0	0.0
2019-01-01	2851518.9000000004	1111.0	2	0	0.0
2019-02-01	2328339.5100000002	1140.5	2	0	0.0
2019-03-01	2065357.6999	1170.0	1	0	0.0
2019-04-01	2641910.6999999997	1200.5	2	0	0.0
2019-05-01	2864571.38	1231.0	3	0	0.0
