month,Actual,Predict
1,14586841.793999998,14022718.053591838
2,13900874.3875,14364300.590089433
3,15081884.025,15025365.525777701
4,17523733.672500007,15774550.618718557
5,14251373.2292,13539828.13885206
6,23535607.59,13504394.244219154
7,13107855.161800005,13484771.475328846
8,17963319.528,13583409.860376477
9,14483201.422499998,14201512.215361306
10,21042430.249300007,13980234.013535103
11,14542661.4225,14760430.683369774
12,14809852.211500002,14174971.490783947
13,11720433.399300005,15306955.813388003
14,16546397.890499998,14932619.006232854
15,12022156.0101,14165300.000881027
16,11913645.4794,14540901.577025846
17,28567068.955,14610918.388321191
