month,Actual,Predict
1,4455244.829999999,3985005.445477392
2,3900005.14,4250594.877725761
3,9334103.98,8576084.794550128
4,15214922.499999998,16119128.088080473
5,3625390.1900000013,3609545.7992987186
6,4556126.81,3571995.0115611576
7,4368295.51,3566737.791147743
8,4854245.76,3653431.7373644016
9,4704428.550000002,4114022.6224108804
10,3460270.320000001,3941972.9837070154
11,4828176.29,4538596.474205388
12,3653899.25,4093386.508971836
13,4738154.23,4983534.178806187
14,4663494.54,4692477.4371431
15,5190738.040000001,4085866.670461795
16,5054033.22,4387906.8033759
17,4765826.88,4452346.721032236
