month,Actual,Predict
1,1830500.28,1755835.175443449
2,1870257.19,1842427.9539337074
3,3167825.45,2842914.2077633967
4,4536560.7,4562262.919855101
5,1408090.5800000003,1633420.3124033543
6,1347784.9799999995,1624437.6535694003
7,1482869.4899999998,1619463.1894258105
8,1520839.95,1644468.483650289
9,1272715.35,1801160.3358108434
10,1488228.53,1745065.2716078353
11,1840844.69,1942848.7944499243
12,1678181.46,1794432.1373851777
13,2652779.83,2081395.4836579692
14,2125980.8000000003,1986499.3436061365
15,1856152.7,1791980.3692373636
16,2375372.6,1887197.1341726782
17,2516549.3000000003,1904946.7249253504
