Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-10-01	418850.5	8.326448629887643	2	0	0.0
2016-11-01	1630924.0	23.775033785282666	3	2	0.0
2016-12-01	2274032.9999999995	32.79107726982769	1	14	0.0
2016-04-01	675757.1	9.289572449512791	1	0	0.0
2016-05-01	598596.4	8.001362035120259	3	0	0.0
2016-06-01	486972.2	10.532471142996183	1	0	0.0
2016-07-01	467490.9	10.253352828797983	1	0	0.0
2016-08-01	443563.2	5.141500109609425	0	0	0.0
2016-09-01	673646.0	9.262962564623725	1	0	0.0
2017-01-01	1110729.2	23.618417587818467	2	0	0.0
2017-10-01	1573739.4000000001	32.67456411584784	2	0	0.0
2017-11-01	2872677.9	36.28701816291714	3	2	0.0
2017-12-01	2080022.0999999996	36.79270403137346	1	14	0.0
2017-02-01	1185871.2999999998	26.616038761015	2	0	0.0
2017-03-01	1310530.1999999997	26.190959682254068	1	0	0.0
2017-04-01	1454259.2600000002	25.647363892077497	2	0	0.0
2017-05-01	1272119.3000000003	24.137711506219844	3	0	0.0
2017-06-01	1050938.0	30.518741761055956	1	0	0.0
2017-07-01	1445591.2399999998	30.825208494970333	1	0	0.0
2017-08-01	1088295.9	27.842583573912737	0	0	0.0
2017-09-01	1345606.5000000002	28.16576086766854	1	0	0.0
2018-01-01	1830500.2799999998	30.850054454773925	2	0	0.0
2018-10-01	1870257.19	33.50594877725762	2	0	0.0
2018-11-01	3167825.4499999997	38.64590302518177	3	2	0.0
2018-12-01	4536560.7	44.47101473971181	1	14	0.0
2018-02-01	1408090.5800000003	27.095457992987185	2	0	0.0
2018-03-01	1347784.9799999997	26.819950115611583	1	0	0.0
2018-04-01	1482869.4899999998	26.667377911477438	2	0	0.0
2018-05-01	1520839.95	27.434317373644003	3	0	0.0
2018-06-01	1272715.3499999999	32.2402262241088	1	0	0.0
2018-07-01	1488228.53	30.519729837070155	1	0	0.0
2018-08-01	1840844.6900000002	36.58596474205387	0	0	0.0
2018-09-01	1678181.46	32.03386508971837	1	0	0.0
2019-01-01	2652779.8299999996	40.83534178806187	2	0	0.0
2019-02-01	2125980.8000000003	37.924774371431006	2	0	0.0
2019-03-01	1856152.7	31.958666704617947	1	0	0.0
2019-04-01	2375372.6	34.87906803375899	2	0	0.0
2019-05-01	2516549.3000000003	35.42346721032237	3	0	0.0
