Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-01-01	1948993.43	8.87088133576783	2	0	0.0
2016-10-01	1511725.2	8.326448629887645	2	0	0.0
2016-11-01	3308528.6799999997	23.77503378528267	3	2	0.0
2016-12-01	6623927.92	32.791077269827674	1	14	0.0
2016-02-01	1560122.5999999999	5.28770103654602	2	0	0.0
2016-03-01	1457708.97	5.5845373303857	2	0	0.0
2016-04-01	1566688.1299999997	9.2799541908501	1	0	0.0
2016-05-01	2165737.2800000003	8.001362035120259	3	0	0.0
2016-06-01	1397913.35	10.532471142996183	1	0	0.0
2016-07-01	1480762.9000000001	10.253352828797983	1	0	0.0
2016-08-01	1256879.6099999999	5.141500109609425	0	0	0.0
2016-09-01	1953865.7199999997	9.262962564623725	1	0	0.0
2017-01-01	1854217.06	23.61841758781846	2	0	0.0
2017-10-01	2311690.13	32.67456411584784	2	0	0.0
2017-11-01	5098335.82	36.287018162917136	3	2	0.0
2017-12-01	9296399.290000003	36.79270403137347	1	14	0.0
2017-02-01	1842556.9900000002	26.616038761014998	2	0	0.0
2017-03-01	2236520.63	26.190959682254064	1	0	0.0
2017-04-01	2055978.47	25.647363892077504	2	0	0.0
2017-05-01	2519994.31	24.137711506219837	3	0	0.0
2017-06-01	2060506.0699999996	30.518741761055956	1	0	0.0
2017-07-01	1524629.57	30.825208494970337	1	0	0.0
2017-08-01	1823891.96	27.842583573912737	0	0	0.0
2017-09-01	2082594.2500000002	28.16576086766854	1	0	0.0
2018-01-01	2848424.69	30.85005445477392	2	0	0.0
2018-10-01	2306885.52	33.505948777257615	2	0	0.0
2018-11-01	6264774.170000001	38.64590302518175	3	2	0.0
2018-12-01	9915880.94	44.47101473971181	1	14	0.0
2018-02-01	2333359.23	27.095457992987182	2	0	0.0
2018-03-01	2777044.7399999998	26.81995011561158	1	0	0.0
2018-04-01	2738093.39	26.667377911477438	2	0	0.0
2018-05-01	3059608.7	27.434317373644006	3	0	0.0
2018-06-01	2995354.6499999994	32.24022622410881	1	0	0.0
2018-07-01	2030951.17	30.519729837070145	1	0	0.0
2018-08-01	2863593.3099999996	36.58596474205387	0	0	0.0
2018-09-01	2017804.6699999997	32.033865089718354	1	0	0.0
2019-01-01	2856034.2700000005	40.83534178806187	2	0	0.0
2019-02-01	3038369.87	37.924774371431006	2	0	0.0
2019-03-01	3222490.3699999996	31.95866670461795	1	0	0.0
2019-04-01	3058939.54	34.87906803375899	2	0	0.0
2019-05-01	2745545.31	35.42346721032238	3	0	0.0
