Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-10-01	137419.82	8.326448629887645	2	0	0.0
2016-11-01	367224.12	23.77503378528267	3	2	0.0
2016-12-01	967223.1099999999	32.79107726982768	1	14	0.0
2016-04-01	215435.12	9.28957244951279	1	0	0.0
2016-05-01	256169.09	8.001362035120259	3	0	0.0
2016-06-01	214136.56	10.532471142996185	1	0	0.0
2016-07-01	223871.4	10.253352828797983	1	0	0.0
2016-08-01	164154.13	5.141500109609425	0	0	0.0
2016-09-01	231031.27000000002	9.262962564623725	1	0	0.0
2017-01-01	483222.2	23.618417587818463	2	0	0.0
2017-10-01	442877.6	32.67456411584784	2	0	0.0
2017-11-01	875160.6100000001	36.287018162917136	3	2	0.0
2017-12-01	524632.77	36.792704031373475	1	14	0.0
2017-02-01	520190.15	26.616038761014998	2	0	0.0
2017-03-01	549244.74	26.190959682254068	1	0	0.0
2017-04-01	600593.82	25.647363892077504	2	0	0.0
2017-05-01	464128.3	24.137711506219837	3	0	0.0
2017-06-01	355803.87000000005	30.518741761055953	1	0	0.0
2017-07-01	511431.2200000001	30.82520849497033	1	0	0.0
2017-08-01	409390.63000000006	27.842583573912737	0	0	0.0
2017-09-01	374177.22000000003	28.165760867668546	1	0	0.0
2018-01-01	484321.9	30.85005445477392	2	0	0.0
2018-10-01	246938.91000000006	33.50594877725761	2	0	0.0
2018-11-01	434085.99999999994	38.64590302518176	3	2	0.0
2018-12-01	730187.25	44.47101473971181	1	14	0.0
2018-02-01	355746.54	27.095457992987182	2	0	0.0
2018-03-01	360251.6099999999	26.819950115611576	1	0	0.0
2018-04-01	403372.74	26.667377911477438	2	0	0.0
2018-05-01	299948.4699999999	27.434317373644006	3	0	0.0
2018-06-01	286424.50000000006	32.2402262241088	1	0	0.0
2018-07-01	318243.16	30.51972983707016	1	0	0.0
2018-08-01	405068.5	36.58596474205387	0	0	0.0
2018-09-01	350035.25999999995	32.03386508971836	1	0	0.0
2019-01-01	472300.35000000003	40.83534178806186	2	0	0.0
2019-02-01	365443.85	37.92477437143099	2	0	0.0
2019-03-01	424669.69999999995	31.958666704617947	1	0	0.0
2019-04-01	579753.2999999999	34.87906803375901	2	0	0.0
2019-05-01	541480.4000000001	35.42346721032237	3	0	0.0
