Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-10-01	197162.22	8.326448629887643	2	0	0.0
2016-11-01	1095090.3299999998	23.775033785282673	3	2	0.0
2016-12-01	949412.2299999999	32.79107726982768	1	14	0.0
2016-04-01	355386.67	9.781856196688386	1	0	0.0
2016-05-01	228797.05	8.001362035120259	3	0	0.0
2016-06-01	169671.40999999997	10.532471142996183	1	0	0.0
2016-07-01	151131.05000000002	10.253352828797981	1	0	0.0
2016-08-01	170172.25999999998	5.141500109609425	0	0	0.0
2016-09-01	322938.32999999996	9.262962564623725	1	0	0.0
2017-01-01	461790.0	23.618417587818463	2	0	0.0
2017-10-01	850151.5000000001	32.67456411584784	2	0	0.0
2017-11-01	1604637.3999999997	36.28701816291713	3	2	0.0
2017-12-01	1296013.7999999998	36.79270403137348	1	14	0.0
2017-02-01	453151.61	26.616038761015	2	0	0.0
2017-03-01	452754.25	26.190959682254064	1	0	0.0
2017-04-01	491721.86	25.647363892077504	2	0	0.0
2017-05-01	491274.51	24.137711506219837	3	0	0.0
2017-06-01	483311.0	30.518741761055946	1	0	0.0
2017-07-01	623858.8999999999	30.82520849497034	1	0	0.0
2017-08-01	460542.3999999999	27.842583573912737	0	0	0.0
2017-09-01	734259.66	28.165760867668535	1	0	0.0
2018-01-01	1029428.8800000001	30.850054454773925	2	0	0.0
2018-10-01	1247340.72	33.50594877725761	2	0	0.0
2018-11-01	2162673.05	38.64590302518175	3	2	0.0
2018-12-01	2999867.6999999997	44.47101473971182	1	14	0.0
2018-02-01	789969.73	27.095457992987182	2	0	0.0
2018-03-01	761633.89	26.819950115611583	1	0	0.0
2018-04-01	789077.7999999999	26.667377911477445	2	0	0.0
2018-05-01	847632.42	27.434317373644006	3	0	0.0
2018-06-01	653758.35	32.2402262241088	1	0	0.0
2018-07-01	824874.91	30.51972983707015	1	0	0.0
2018-08-01	1018736.79	36.585964742053875	0	0	0.0
2018-09-01	971353.9000000001	32.03386508971836	1	0	0.0
2019-01-01	1661235.4	40.83534178806186	2	0	0.0
2019-02-01	1284958.2899999996	37.924774371431	2	0	0.0
2019-03-01	1098629.2000000002	31.95866670461795	1	0	0.0
2019-04-01	1358219.4000000001	34.879068033758976	2	0	0.0
2019-05-01	1334341.5999999999	35.42346721032238	3	0	0.0
