Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-10-01	23914.82	8.326448629887643	2	0	0.0
2016-11-01	57174.98999999999	23.77503378528267	3	2	0.0
2016-12-01	71723.22	32.79107726982768	1	14	0.0
2016-04-04	22825.28	9.798706519310153	1	0	0.0
2016-05-01	23181.11	8.001362035120259	3	0	0.0
2016-06-01	21683.15	10.532471142996185	1	0	0.0
2016-07-01	24714.1	10.253352828797983	1	0	0.0
2016-08-01	29557.45	5.141500109609425	0	0	0.0
2016-09-01	40001.04	9.262962564623725	1	0	0.0
2017-01-01	48997.0	23.618417587818463	2	0	0.0
2017-10-01	90996.70000000001	32.67456411584784	2	0	0.0
2017-11-01	156672.58	36.28701816291716	3	2	0.0
2017-12-01	124290.54	36.79270403137348	1	14	0.0
2017-02-01	63051.21000000001	26.616038761015	2	0	0.0
2017-03-01	49430.04	26.190959682254068	1	0	0.0
2017-04-01	67608.29000000001	25.647363892077504	2	0	0.0
2017-05-01	71775.92	24.137711506219837	3	0	0.0
2017-06-01	65259.22	30.518741761055953	1	0	0.0
2017-07-01	87672.7	30.82520849497034	1	0	0.0
2017-08-01	75841.81999999999	27.84258357391274	0	0	0.0
2017-09-01	82511.62	28.165760867668535	1	0	0.0
2018-01-01	137473.40000000002	30.85005445477392	2	0	0.0
2018-10-01	149237.62000000002	33.505948777257615	2	0	0.0
2018-11-01	317585.3	38.645903025181745	3	2	0.0
2018-12-01	524838.85	44.47101473971181	1	14	0.0
2018-02-01	122561.24	27.095457992987182	2	0	0.0
2018-03-01	88839.16999999998	26.819950115611583	1	0	0.0
2018-04-01	123072.99999999999	26.667377911477438	2	0	0.0
2018-05-01	116967.59999999999	27.434317373644006	3	0	0.0
2018-06-01	103249.0	32.2402262241088	1	0	0.0
2018-07-01	118051.7	30.519729837070145	1	0	0.0
2018-08-01	173042.02000000002	36.585964742053875	0	0	0.0
2018-09-01	149438.50000000003	32.03386508971836	1	0	0.0
2019-01-01	310930.22	40.83534178806186	2	0	0.0
2019-02-01	267805.95999999996	37.924774371431	2	0	0.0
2019-03-01	174216.29999999996	31.958666704617947	1	0	0.0
2019-04-01	248429.60000000006	34.879068033759	2	0	0.0
2019-05-01	231505.09999999998	35.42346721032237	3	0	0.0
