Date	Sale	DiscountPerc	Holiday	Campaign	bos
2016-10-01	27367.74	8.326448629887645	2	0	0.0
2016-11-01	68346.67000000001	23.77503378528267	3	2	0.0
2016-12-01	202077.59000000003	32.79107726982769	1	14	0.0
2016-04-04	58041.88999999999	9.515198302509388	1	0	0.0
2016-05-01	61756.15	8.001362035120259	3	0	0.0
2016-06-01	51978.85	10.532471142996181	1	0	0.0
2016-07-01	47901.34999999999	10.253352828797981	1	0	0.0
2016-08-01	62066.36	5.141500109609425	0	0	0.0
2016-09-01	47896.15	9.262962564623725	1	0	0.0
2017-01-01	50506.0	23.618417587818463	2	0	0.0
2017-10-01	79454.49999999999	32.67456411584784	2	0	0.0
2017-11-01	116304.85999999997	36.28701816291713	3	2	0.0
2017-12-01	81137.76000000001	36.79270403137348	1	14	0.0
2017-02-01	69927.58000000002	26.616038761014998	2	0	0.0
2017-03-01	83978.32999999999	26.190959682254068	1	0	0.0
2017-04-01	119962.21	25.647363892077497	2	0	0.0
2017-05-01	158343.23	24.137711506219837	3	0	0.0
2017-06-01	82773.33	30.518741761055946	1	0	0.0
2017-07-01	161100.22	30.825208494970333	1	0	0.0
2017-08-01	72223.13	27.842583573912737	0	0	0.0
2017-09-01	60208.29999999999	28.165760867668535	1	0	0.0
2018-01-01	101364.50000000001	30.850054454773925	2	0	0.0
2018-10-01	175794.54	33.505948777257615	2	0	0.0
2018-11-01	208547.65000000002	38.645903025181745	3	2	0.0
2018-12-01	174973.5	44.47101473971181	1	14	0.0
2018-02-01	104907.91	27.095457992987182	2	0	0.0
2018-03-01	111897.42	26.819950115611576	1	0	0.0
2018-04-01	128424.44999999998	26.66737791147743	2	0	0.0
2018-05-01	198011.06	27.434317373644003	3	0	0.0
2018-06-01	176929.39999999997	32.24022622410881	1	0	0.0
2018-07-01	170794.93000000005	30.51972983707015	1	0	0.0
2018-08-01	182839.94	36.58596474205386	0	0	0.0
2018-09-01	162875.11	32.03386508971837	1	0	0.0
2019-01-01	118952.79	40.835341788061854	2	0	0.0
2019-02-01	105380.65000000001	37.924774371431	2	0	0.0
2019-03-01	88209.79999999999	31.95866670461795	1	0	0.0
2019-04-01	82502.2	34.87906803375899	2	0	0.0
2019-05-01	217619.19999999998	35.42346721032237	3	0	0.0
