Month	PredictedSale
2018-01-01	4503127.11164545
2018-02-01	3741472.46840009
2018-03-01	3665294.46337959
2018-04-01	3792089.7457636106
2018-05-01	3861018.8310055602
2018-06-01	4783198.38063005
2018-07-01	4162791.5307773896
2018-08-01	4792289.41931356
2018-09-01	4294518.66547564
2018-10-01	4397852.53786579
2018-11-01	9065374.074273506
2018-12-01	15877500.074043624
2019-01-01	5210962.822920671
2019-02-01	4878067.7282065
2019-03-01	3665294.46337959
2019-04-01	3792089.7457636106
2019-05-01	3861018.8310055602
2019-06-01	4783198.38063005
2019-07-01	4162791.5307773896
2019-08-01	4792289.41931356
2019-09-01	4294518.66547564
2019-10-01	4397852.53786579
2019-11-01	9055374.074273506
2019-12-01	15877500.074043624
