Month	PredictedSale
2018-01-01	1028892.7625573474
2018-02-01	855288.81972243250
2018-03-01	764660.86703810990
2018-04-01	940090.71575189980
2018-05-01	955801.72215109730
2018-06-01	1019464.7068970073
2018-07-01	878055.37361009050
2018-08-01	948272.12734413970
2018-09-01	908079.93942186260
2018-10-01	1004897.5289557495
2018-11-01	1682786.9640337154
2018-12-01	2922944.2667007903
2019-01-01	1190229.7562283059
2019-02-01	1114352.9772901074
2019-03-01	764660.86703810990
2019-04-01	940090.71575189980
2019-05-01	955801.72215109730
2019-06-01	1019464.7068970073
2019-07-01	878055.37361009050
2019-08-01	948272.12734413970
2019-09-01	908079.93942186260
2019-10-01	1004897.5289557495
2019-11-01	1607242.9640337154
2019-12-01	2922944.2667007903
