Month	PredictedSale
2018-01-01	2711563.5558227250
2018-02-01	2330736.2342000450
2018-03-01	2097647.2316897950
2018-04-01	2551044.8728818055
2018-05-01	2585509.4155027800
2018-06-01	2656599.1903150250
2018-07-01	2346395.7653886946
2018-08-01	2466144.7096567800
2018-09-01	2412259.3327378200
2018-10-01	2658926.2689328950
2018-11-01	5673421.3928470090
2018-12-01	10187482.519067388
2019-01-01	3065481.4114603354
2019-02-01	2899033.8641032400
2019-03-01	2097647.2316897950
2019-04-01	2551044.8728818055
2019-05-01	2585509.4155027800
2019-06-01	2656599.1903150250
2019-07-01	2346395.7653886946
2019-08-01	2466144.7096567800
2019-09-01	2412259.3327378200
2019-10-01	2658926.2689328950
2019-11-01	5473421.3928470090
2019-12-01	10187482.519067388
