Month	PredictedSale
2018-01-01	379499.99789776520
2018-02-01	335171.69766088520
2018-03-01	319320.13776869210
2018-04-01	349535.62320344210
2018-05-01	353547.29596452357
2018-06-01	384382.14575266890
2018-07-01	348274.46709124406
2018-08-01	373493.24420404923
2018-09-01	355940.98633068224
2018-10-01	373373.01770378894
2018-11-01	791785.84113078150
2018-12-01	1351936.0769607616
2019-01-01	420696.03629398360
2019-02-01	401321.54178161770
2019-03-01	319320.13776869210
2019-04-01	349535.62320344210
2019-05-01	353547.29596452357
2019-06-01	384382.14575266890
2019-07-01	348274.46709124406
2019-08-01	373493.24420404923
2019-09-01	355940.98633068224
2019-10-01	373373.01770378894
2019-11-01	779785.84113078150
2019-12-01	1351936.0769607616
