Month	PredictedSale
2018-01-01	215417.20549592454
2018-02-01	186382.93049541142
2018-03-01	175868.22494402996
2018-04-01	195923.26110850883
2018-05-01	198550.83783793193
2018-06-01	218482.72226961752
2018-07-01	194832.81315323410
2018-08-01	211218.47266423292
2018-09-01	199854.25152793140
2018-10-01	211404.13874344390
2018-11-01	290943.00163135584
2018-12-01	539530.97985938020
2019-01-01	242399.90280973597
2019-02-01	229709.94179923178
2019-03-01	175868.22494402996
2019-04-01	195923.26110850883
2019-05-01	198550.83783793193
2019-06-01	218482.72226961752
2019-07-01	194832.81315323410
2019-08-01	211218.47266423292
2019-09-01	199854.25152793140
2019-10-01	211404.13874344390
2019-11-01	282951.00163135584
2019-12-01	539530.97985938020
