Month	PredictedSale
2018-01-01	144125.08446581798
2018-02-01	113658.89873600360
2018-03-01	95011.778535183590
2018-04-01	131283.58983054443
2018-05-01	134040.75324022240
2018-06-01	139727.93522520200
2018-07-01	114911.66123109560
2018-08-01	124491.57677254241
2018-09-01	120180.74661902560
2018-10-01	139914.10151463160
2018-11-01	323958.78860558395
2018-12-01	651085.95870766150
2019-01-01	172438.51291682682
2019-02-01	159122.70912825920
2019-03-01	95011.778535183590
2019-04-01	131283.58983054443
2019-05-01	134040.75324022240
2019-06-01	139727.93522520200
2019-07-01	114911.66123109560
2019-08-01	124491.57677254241
2019-09-01	120180.74661902560
2019-10-01	139914.10151463160
2019-11-01	307958.78860558395
2019-12-01	651085.95870766150
