Month	PredictedSale
2018-01-01	6322188.978151815
2018-02-01	5789030.727880063
2018-03-01	5742706.124365713
2018-04-01	5817462.822034528
2018-05-01	5865713.181703892
2018-06-01	6525238.866441036
2018-07-01	6090954.071544172
2018-08-01	6538602.593519492
2018-09-01	6183163.065832948
2018-10-01	6248496.776506053
2018-11-01	12329178.56549206
2018-12-01	21695008.195839554
2019-01-01	6817673.9760444695
2019-02-01	6584647.40974455
2019-03-01	5742706.124365713
2019-04-01	5817462.822034528
2019-05-01	5865713.181703892
2019-06-01	6525238.866441036
2019-07-01	6090954.071544172
2019-08-01	6538602.593519492
2019-09-01	6183163.065832948
2019-10-01	6248496.776506053
2019-11-01	12329178.56549204
2019-12-01	21695008.195839427
