Month	PredictedSale
2018-01-01	1830938.1334936349
2018-02-01	1602441.740520027
2018-03-01	1582588.3390138769
2018-04-01	1614626.923729083
2018-05-01	1635305.6493016682
2018-06-01	1917959.514189015
2018-07-01	1731837.459233217
2018-08-01	1923686.825794068
2018-09-01	1771355.5996426921
2018-10-01	1799355.761359737
2018-11-01	2951262.2182677193
2018-12-01	4604442.181298049
2019-01-01	2043288.846876204
2019-02-01	1943420.318461947
2019-03-01	1582588.3390138769
2019-04-01	1614626.923729083
2019-05-01	1635305.6493016682
2019-06-01	1917959.514189015
2019-07-01	1731837.459233217
2019-08-01	1923686.825794068
2019-09-01	1771355.5996426921
2019-10-01	1799355.761359737
2019-11-01	2951262.2182677193
2019-12-01	4604442.181298049
