Month	PredictedSale
2018-01-01	368050.84026578500
2018-02-01	369307.57042713990
2018-03-01	374918.76413542370
2018-04-01	363738.55191949004
2018-05-01	363624.81892884080
2018-06-01	373074.22267196040
2018-07-01	374097.89397421730
2018-08-01	378544.72245813260
2018-09-01	373880.54420196520
2018-10-01	368224.54331252140
2018-11-01	468601.99346807000
2018-12-01	766309.24822956100
2019-01-01	366882.91134218090
2019-02-01	367432.18824845930
2019-03-01	374918.76413542370
2019-04-01	363738.55191949004
2019-05-01	363624.81892884080
2019-06-01	373074.22267196040
2019-07-01	374097.89397421730
2019-08-01	378544.72245813260
2019-09-01	373880.54420196520
2019-10-01	368224.54331252140
2019-11-01	474103.99346807000
2019-12-01	766309.24822956100
