Month	PredictedSale
2018-01-01	1051563.5558227250
2018-02-01	670736.23420004500
2018-03-01	637647.23168979490
2018-04-01	691044.87288180530
2018-05-01	725509.41550278010
2018-06-01	1196599.1903150250
2018-07-01	886395.76538869480
2018-08-01	1206144.7096567700
2018-09-01	952259.33273782000
2018-10-01	998926.26893289500
2018-11-01	1766054.2146442162
2018-12-01	3103786.0678533440
2019-01-01	1405481.4114603354
2019-02-01	1239033.8641032500
2019-03-01	637647.23168979490
2019-04-01	691044.87288180530
2019-05-01	725509.41550278010
2019-06-01	1196599.1903150250
2019-07-01	886395.76538869480
2019-08-01	1206144.7096567700
2019-09-01	952259.33273782000
2019-10-01	998926.26893289500
2019-11-01	1766054.2146442162
2019-12-01	3103786.0678533440
