Month	PredictedSale
2018-01-01	130175.33617389815
2018-02-01	110364.69890308633
2018-03-01	107914.40899250313
2018-04-01	112150.15428731151
2018-05-01	113942.99979445462
2018-06-01	136991.08988018760
2018-07-01	120854.30771551991
2018-08-01	136758.64779634570
2018-09-01	124280.53048902139
2018-10-01	127437.14450988920
2018-11-01	310167.91568789350
2018-12-01	582678.55869880760
2019-01-01	148586.14302416664
2019-02-01	139927.54161065107
2019-03-01	107914.40899250313
2019-04-01	112150.15428731151
2019-05-01	113942.99979445462
2019-06-01	136991.08988018760
2019-07-01	120854.30771551991
2019-08-01	136758.64779634570
2019-09-01	124280.53048902139
2019-10-01	127437.14450988920
2019-11-01	309438.91568789350
2019-12-01	582678.55869880760
