Month	PredictedSale
2018-01-01	158093.08446581798
2018-02-01	127626.89873600360
2018-03-01	108995.77853518359
2018-04-01	145235.58983054443
2018-05-01	147992.75324022240
2018-06-01	153711.93522520200
2018-07-01	128895.66123109560
2018-08-01	138491.57677254240
2018-09-01	134164.74661902560
2018-10-01	153882.10151463160
2018-11-01	210184.29362805320
2018-12-01	204780.10901837400
2019-01-01	186406.51291682682
2019-02-01	173090.70912825960
2019-03-01	108995.77853518359
2019-04-01	145235.58983054443
2019-05-01	147992.75324022240
2019-06-01	153711.93522520200
2019-07-01	128895.66123109560
2019-08-01	138491.57677254240
2019-09-01	134164.74661902560
2019-10-01	153882.10151463160
2019-11-01	194200.29362805320
2019-12-01	204780.10901837400
