Month	PredictedSale
2018-01-01	1800000.0
2018-02-01	1840000.0
2018-03-01	1880000.0
2018-04-01	1920000.0
2018-05-01	1960000.0
2018-06-01	2000000.0
2018-07-01	2040000.0
2018-08-01	2080000.0
2018-09-01	2120000.0
2018-10-01	2160000.0
2018-11-01	3577142.691005783
2018-12-01	5731289.419679653
2019-01-01	2280000.0
2019-02-01	2320000.0
2019-03-01	2360000.0
2019-04-01	2400000.0
2019-05-01	2440000.0
2019-06-01	2480000.0
2019-07-01	2520000.0
2019-08-01	2560000.0
2019-09-01	2600000.0
2019-10-01	2640000.0
2019-11-01	4529305.899350623
2019-12-01	7375052.559572871
