Month	PredictedSale
2018-01-01	15174079.63366914
2018-02-01	12505757.520631172
2018-03-01	21707418.552833524
2018-04-01	13769191.95598323
2018-05-01	13092188.077964764
2018-06-01	20140817.260827724
2018-07-01	17483156.856323317
2018-08-01	16348126.238208085
2018-09-01	15897692.767018927
2018-10-01	19119316.948030487
2018-11-01	13539737.712231146
2018-12-01	15622516.47627854
2019-01-01	15174079.63366914
2019-02-01	12505757.520631172
2019-03-01	21707418.552833524
2019-04-01	13769191.95598321
2019-05-01	13092188.077964764
2019-06-01	20140817.260827526
2019-07-01	17483156.856323317
2019-08-01	16348126.238208085
2019-09-01	15897692.767018909
2019-10-01	19119316.948030487
2019-11-01	13539737.712231146
2019-12-01	15622516.47627854
